date,price
2015-01-01,300.0
2015-02-01,300.5
2015-03-01,301.0
2015-04-01,301.5
2015-05-01,302.0
2015-06-01,302.5
2015-07-01,303.0
2015-08-01,303.5
2015-09-01,304.0
2015-10-01,304.5
2015-11-01,305.0
2015-12-01,305.5
2016-01-01,306.0
2016-02-01,306.5
2016-03-01,307.0
2016-04-01,307.5
2016-05-01,308.0
2016-06-01,308.5
2016-07-01,309.0
2016-08-01,309.5
2016-09-01,310.0
2016-10-01,310.5
2016-11-01,311.0
2016-12-01,311.5
2017-01-01,312.0
2017-02-01,312.5
2017-03-01,313.0
2017-04-01,313.5
2017-05-01,314.0
2017-06-01,314.5
2017-07-01,315.0
2017-08-01,315.5
2017-09-01,316.0
2017-10-01,316.5
2017-11-01,317.0
2017-12-01,317.5
2018-01-01,318.0
2018-02-01,318.5
2018-03-01,319.0
2018-04-01,319.5
2018-05-01,320.0
2018-06-01,320.5
2018-07-01,321.0
2018-08-01,321.5
2018-09-01,322.0
2018-10-01,322.5
2018-11-01,323.0
2018-12-01,323.5
2019-01-01,324.0
2019-02-01,324.5
2019-03-01,325.0
2019-04-01,325.5
2019-05-01,326.0
2019-06-01,326.5
2019-07-01,327.0
2019-08-01,327.5
2019-09-01,328.0
2019-10-01,328.5
2019-11-01,329.0
2019-12-01,329.5
2020-01-01,330.0
2020-02-01,330.5
2020-03-01,331.0
2020-04-01,331.5
2020-05-01,332.0
2020-06-01,332.5
2020-07-01,333.0
2020-08-01,333.5
2020-09-01,334.0
2020-10-01,334.5
2020-11-01,335.0
2020-12-01,335.5
2021-01-01,336.0
2021-02-01,336.5
2021-03-01,337.0
2021-04-01,337.5
2021-05-01,338.0
2021-06-01,338.5
2021-07-01,339.0
2021-08-01,339.5
2021-09-01,340.0
2021-10-01,340.5
2021-11-01,341.0
2021-12-01,341.5
2022-01-01,342.0
2022-02-01,342.5
2022-03-01,343.0
2022-04-01,343.5
2022-05-01,344.0
2022-06-01,344.5
2022-07-01,345.0
2022-08-01,345.5
2022-09-01,346.0
2022-10-01,346.5
2022-11-01,347.0
2022-12-01,347.5
2023-01-01,348.0
2023-02-01,348.5
2023-03-01,349.0
2023-04-01,349.5
2023-05-01,350.0
2023-06-01,350.5
2023-07-01,351.0
2023-08-01,351.5
2023-09-01,352.0
2023-10-01,352.5
2023-11-01,353.0
2023-12-01,353.5
2024-01-01,354.0
2024-02-01,354.5
2024-03-01,355.0
2024-04-01,355.5
2024-05-01,356.0
2024-06-01,356.5
2024-07-01,357.0
2024-08-01,357.5
2024-09-01,358.0
2024-10-01,358.5
2024-11-01,359.0
2024-12-01,359.5
