date,price
2015-01-01,30.0
2015-02-01,30.02
2015-03-01,30.04
2015-04-01,30.06
2015-05-01,30.08
2015-06-01,30.1
2015-07-01,30.12
2015-08-01,30.14
2015-09-01,30.16
2015-10-01,30.18
2015-11-01,30.2
2015-12-01,30.22
2016-01-01,30.24
2016-02-01,30.26
2016-03-01,30.28
2016-04-01,30.3
2016-05-01,30.32
2016-06-01,30.34
2016-07-01,30.36
2016-08-01,30.38
2016-09-01,30.4
2016-10-01,30.42
2016-11-01,30.44
2016-12-01,30.46
2017-01-01,30.48
2017-02-01,30.5
2017-03-01,30.52
2017-04-01,30.54
2017-05-01,30.56
2017-06-01,30.58
2017-07-01,30.6
2017-08-01,30.62
2017-09-01,30.64
2017-10-01,30.66
2017-11-01,30.68
2017-12-01,30.7
2018-01-01,30.72
2018-02-01,30.74
2018-03-01,30.76
2018-04-01,30.78
2018-05-01,30.8
2018-06-01,30.82
2018-07-01,30.84
2018-08-01,30.86
2018-09-01,30.88
2018-10-01,30.9
2018-11-01,30.92
2018-12-01,30.94
2019-01-01,30.96
2019-02-01,30.98
2019-03-01,31.0
2019-04-01,31.02
2019-05-01,31.04
2019-06-01,31.06
2019-07-01,31.08
2019-08-01,31.1
2019-09-01,31.12
2019-10-01,31.14
2019-11-01,31.16
2019-12-01,31.18
2020-01-01,31.2
2020-02-01,31.22
2020-03-01,31.24
2020-04-01,31.26
2020-05-01,31.28
2020-06-01,31.3
2020-07-01,31.32
2020-08-01,31.34
2020-09-01,31.36
2020-10-01,31.38
2020-11-01,31.4
2020-12-01,31.42
2021-01-01,31.44
2021-02-01,31.46
2021-03-01,31.48
2021-04-01,31.5
2021-05-01,31.52
2021-06-01,31.54
2021-07-01,31.56
2021-08-01,31.58
2021-09-01,31.6
2021-10-01,31.62
2021-11-01,31.64
2021-12-01,31.66
2022-01-01,31.68
2022-02-01,31.7
2022-03-01,31.72
2022-04-01,31.74
2022-05-01,31.76
2022-06-01,31.78
2022-07-01,31.8
2022-08-01,31.82
2022-09-01,31.84
2022-10-01,31.86
2022-11-01,31.88
2022-12-01,31.9
2023-01-01,31.92
2023-02-01,31.94
2023-03-01,31.96
2023-04-01,31.98
2023-05-01,32.0
2023-06-01,32.02
2023-07-01,32.04
2023-08-01,32.06
2023-09-01,32.08
2023-10-01,32.1
2023-11-01,32.12
2023-12-01,32.14
2024-01-01,32.16
2024-02-01,32.18
2024-03-01,32.2
2024-04-01,32.22
2024-05-01,32.24
2024-06-01,32.26
2024-07-01,32.28
2024-08-01,32.3
2024-09-01,32.32
2024-10-01,32.34
2024-11-01,32.36
2024-12-01,32.38
