date,cost
2015-01-01,50.0
2015-02-01,50.1
2015-03-01,50.2
2015-04-01,50.3
2015-05-01,50.4
2015-06-01,50.5
2015-07-01,50.6
2015-08-01,50.7
2015-09-01,50.8
2015-10-01,50.9
2015-11-01,51.0
2015-12-01,51.1
2016-01-01,51.2
2016-02-01,51.3
2016-03-01,51.4
2016-04-01,51.5
2016-05-01,51.6
2016-06-01,51.7
2016-07-01,51.8
2016-08-01,51.9
2016-09-01,52.0
2016-10-01,52.1
2016-11-01,52.2
2016-12-01,52.3
2017-01-01,52.4
2017-02-01,52.5
2017-03-01,52.6
2017-04-01,52.7
2017-05-01,52.8
2017-06-01,52.9
2017-07-01,53.0
2017-08-01,53.1
2017-09-01,53.2
2017-10-01,53.3
2017-11-01,53.4
2017-12-01,53.5
2018-01-01,53.6
2018-02-01,53.7
2018-03-01,53.8
2018-04-01,53.9
2018-05-01,54.0
2018-06-01,54.1
2018-07-01,54.2
2018-08-01,54.3
2018-09-01,54.4
2018-10-01,54.5
2018-11-01,54.6
2018-12-01,54.7
2019-01-01,54.8
2019-02-01,54.9
2019-03-01,55.0
2019-04-01,55.1
2019-05-01,55.2
2019-06-01,55.3
2019-07-01,55.4
2019-08-01,55.5
2019-09-01,55.6
2019-10-01,55.7
2019-11-01,55.8
2019-12-01,55.9
2020-01-01,56.0
2020-02-01,56.1
2020-03-01,56.2
2020-04-01,56.3
2020-05-01,56.4
2020-06-01,56.5
2020-07-01,56.6
2020-08-01,56.7
2020-09-01,56.8
2020-10-01,56.9
2020-11-01,57.0
2020-12-01,57.1
2021-01-01,57.2
2021-02-01,57.3
2021-03-01,57.4
2021-04-01,57.5
2021-05-01,57.6
2021-06-01,57.7
2021-07-01,57.8
2021-08-01,57.9
2021-09-01,58.0
2021-10-01,58.1
2021-11-01,58.2
2021-12-01,58.3
2022-01-01,58.4
2022-02-01,58.5
2022-03-01,58.6
2022-04-01,58.7
2022-05-01,58.8
2022-06-01,58.9
2022-07-01,59.0
2022-08-01,59.1
2022-09-01,59.2
2022-10-01,59.3
2022-11-01,59.4
2022-12-01,59.5
2023-01-01,59.6
2023-02-01,59.7
2023-03-01,59.8
2023-04-01,59.9
2023-05-01,60.0
2023-06-01,60.1
2023-07-01,60.2
2023-08-01,60.3
2023-09-01,60.4
2023-10-01,60.5
2023-11-01,60.6
2023-12-01,60.7
2024-01-01,60.8
2024-02-01,60.9
2024-03-01,61.0
2024-04-01,61.1
2024-05-01,61.2
2024-06-01,61.3
2024-07-01,61.4
2024-08-01,61.5
2024-09-01,61.6
2024-10-01,61.7
2024-11-01,61.8
2024-12-01,61.9
