date,margin
2015-01-01,10.0
2015-02-01,9.95
2015-03-01,9.9
2015-04-01,9.85
2015-05-01,9.8
2015-06-01,9.75
2015-07-01,9.7
2015-08-01,9.65
2015-09-01,9.6
2015-10-01,9.55
2015-11-01,9.5
2015-12-01,9.45
2016-01-01,9.4
2016-02-01,9.35
2016-03-01,9.3
2016-04-01,9.25
2016-05-01,9.2
2016-06-01,9.15
2016-07-01,9.1
2016-08-01,9.05
2016-09-01,9.0
2016-10-01,8.95
2016-11-01,8.9
2016-12-01,8.85
2017-01-01,8.8
2017-02-01,8.75
2017-03-01,8.7
2017-04-01,8.65
2017-05-01,8.6
2017-06-01,8.55
2017-07-01,8.5
2017-08-01,8.45
2017-09-01,8.4
2017-10-01,8.35
2017-11-01,8.3
2017-12-01,8.25
2018-01-01,8.2
2018-02-01,8.15
2018-03-01,8.1
2018-04-01,8.05
2018-05-01,8.0
2018-06-01,7.949999999999999
2018-07-01,7.9
2018-08-01,7.85
2018-09-01,7.8
2018-10-01,7.75
2018-11-01,7.699999999999999
2018-12-01,7.65
2019-01-01,7.6
2019-02-01,7.55
2019-03-01,7.5
2019-04-01,7.449999999999999
2019-05-01,7.4
2019-06-01,7.35
2019-07-01,7.3
2019-08-01,7.25
2019-09-01,7.199999999999999
2019-10-01,7.15
2019-11-01,7.1
2019-12-01,7.05
2020-01-01,7.0
2020-02-01,6.949999999999999
2020-03-01,6.9
2020-04-01,6.85
2020-05-01,6.8
2020-06-01,6.75
2020-07-01,6.699999999999999
2020-08-01,6.65
2020-09-01,6.6
2020-10-01,6.55
2020-11-01,6.5
2020-12-01,6.449999999999999
2021-01-01,6.4
2021-02-01,6.35
2021-03-01,6.3
2021-04-01,6.25
2021-05-01,6.199999999999999
2021-06-01,6.15
2021-07-01,6.1
2021-08-01,6.05
2021-09-01,6.0
2021-10-01,5.95
2021-11-01,5.8999999999999995
2021-12-01,5.85
2022-01-01,5.8
2022-02-01,5.75
2022-03-01,5.7
2022-04-01,5.6499999999999995
2022-05-01,5.6
2022-06-01,5.55
2022-07-01,5.5
2022-08-01,5.45
2022-09-01,5.3999999999999995
2022-10-01,5.35
2022-11-01,5.3
2022-12-01,5.25
2023-01-01,5.199999999999999
2023-02-01,5.1499999999999995
2023-03-01,5.1
2023-04-01,5.05
2023-05-01,5.0
2023-06-01,4.949999999999999
2023-07-01,4.8999999999999995
2023-08-01,4.85
2023-09-01,4.8
2023-10-01,4.75
2023-11-01,4.699999999999999
2023-12-01,4.6499999999999995
2024-01-01,4.6
2024-02-01,4.55
2024-03-01,4.5
2024-04-01,4.449999999999999
2024-05-01,4.3999999999999995
2024-06-01,4.35
2024-07-01,4.3
2024-08-01,4.25
2024-09-01,4.199999999999999
2024-10-01,4.1499999999999995
2024-11-01,4.1
2024-12-01,4.05
